Timestamp,Date,Time,Actual_Price_BE
2026-05-12 00:00:00,12/05/2026,0:00,106.14
2026-05-12 01:00:00,12/05/2026,1:00,98.93
2026-05-12 02:00:00,12/05/2026,2:00,88.9
2026-05-12 03:00:00,12/05/2026,3:00,89.79
2026-05-12 04:00:00,12/05/2026,4:00,83.7
2026-05-12 05:00:00,12/05/2026,5:00,85.74
2026-05-12 06:00:00,12/05/2026,6:00,100.1
2026-05-12 07:00:00,12/05/2026,7:00,125.77
2026-05-12 08:00:00,12/05/2026,8:00,125.05
2026-05-12 09:00:00,12/05/2026,9:00,108.53
2026-05-12 10:00:00,12/05/2026,10:00,95.15
2026-05-12 11:00:00,12/05/2026,11:00,66.78
2026-05-12 12:00:00,12/05/2026,12:00,51.81
2026-05-12 13:00:00,12/05/2026,13:00,31.89
2026-05-12 14:00:00,12/05/2026,14:00,30.0
2026-05-12 15:00:00,12/05/2026,15:00,30.47
2026-05-12 16:00:00,12/05/2026,16:00,37.8
2026-05-12 17:00:00,12/05/2026,17:00,57.72
2026-05-12 18:00:00,12/05/2026,18:00,88.9
2026-05-12 19:00:00,12/05/2026,19:00,108.6
2026-05-12 20:00:00,12/05/2026,20:00,130.63
2026-05-12 21:00:00,12/05/2026,21:00,147.11
2026-05-12 22:00:00,12/05/2026,22:00,136.48
2026-05-12 23:00:00,12/05/2026,23:00,125.37
2026-05-13 00:00:00,13/05/2026,0:00,119.45
2026-05-13 01:00:00,13/05/2026,1:00,104.68
2026-05-13 02:00:00,13/05/2026,2:00,99.59
2026-05-13 03:00:00,13/05/2026,3:00,90.0
2026-05-13 04:00:00,13/05/2026,4:00,94.71
2026-05-13 05:00:00,13/05/2026,5:00,105.31
2026-05-13 06:00:00,13/05/2026,6:00,107.41
2026-05-13 07:00:00,13/05/2026,7:00,131.17
2026-05-13 08:00:00,13/05/2026,8:00,134.74
2026-05-13 09:00:00,13/05/2026,9:00,109.27
2026-05-13 10:00:00,13/05/2026,10:00,76.41
2026-05-13 11:00:00,13/05/2026,11:00,69.46
2026-05-13 12:00:00,13/05/2026,12:00,71.3
2026-05-13 13:00:00,13/05/2026,13:00,64.88
2026-05-13 14:00:00,13/05/2026,14:00,49.79
2026-05-13 15:00:00,13/05/2026,15:00,53.71
2026-05-13 16:00:00,13/05/2026,16:00,58.94
2026-05-13 17:00:00,13/05/2026,17:00,69.16
2026-05-13 18:00:00,13/05/2026,18:00,99.04
2026-05-13 19:00:00,13/05/2026,19:00,116.37
2026-05-13 20:00:00,13/05/2026,20:00,150.0
2026-05-13 21:00:00,13/05/2026,21:00,151.71
2026-05-13 22:00:00,13/05/2026,22:00,133.68
2026-05-13 23:00:00,13/05/2026,23:00,124.87
2026-05-14 00:00:00,14/05/2026,0:00,121.24
2026-05-14 01:00:00,14/05/2026,1:00,106.13
2026-05-14 02:00:00,14/05/2026,2:00,101.51
2026-05-14 03:00:00,14/05/2026,3:00,96.19
2026-05-14 04:00:00,14/05/2026,4:00,92.83
2026-05-14 05:00:00,14/05/2026,5:00,95.00
2026-05-14 06:00:00,14/05/2026,6:00,100.99
2026-05-14 07:00:00,14/05/2026,7:00,116.27
2026-05-14 08:00:00,14/05/2026,8:00,93.79
2026-05-14 09:00:00,14/05/2026,9:00,85.27
2026-05-14 10:00:00,14/05/2026,10:00,67.92
2026-05-14 11:00:00,14/05/2026,11:00,37.32
2026-05-14 12:00:00,14/05/2026,12:00,47.2
2026-05-14 13:00:00,14/05/2026,13:00,10.21
2026-05-14 14:00:00,14/05/2026,14:00,3.01
2026-05-14 15:00:00,14/05/2026,15:00,3.74
2026-05-14 16:00:00,14/05/2026,16:00,20.39
2026-05-14 17:00:00,14/05/2026,17:00,51.87
2026-05-14 18:00:00,14/05/2026,18:00,91.52
2026-05-14 19:00:00,14/05/2026,19:00,117.25
2026-05-14 20:00:00,14/05/2026,20:00,142.17
2026-05-14 21:00:00,14/05/2026,21:00,146.76
2026-05-14 22:00:00,14/05/2026,22:00,150.87
2026-05-14 23:00:00,14/05/2026,23:00,131.51
